statNm,statId,chgerId,chgerType,addr,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,s,l,output,method,zcode,zscode,kind,kindDetail,parkingFree,limitYn,delYn,statUpdDt,lastTsdt,FALSE,,
실증용 Mock-up 주택 홍보관,ME174020,1,6,서울특별시 노원구 하계동 251-8,37.6381803,127.0737876,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11350,D0,D005,N,N,N,2022-08-23 21:32:27,2022-08-23 20:49:06,,,
실증용 Mock-up 주택 홍보관,ME174020,2,6,서울특별시 노원구 하계동 251-8,37.6381803,127.0737876,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11350,D0,D005,N,N,N,2022-08-24 01:11:26,2022-08-24 00:30:42,,,
동대문구청,ME174021,1,6,서울특별시 동대문구 천호대로 145,37.5746807,127.0401814,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11230,A0,A001,N,N,N,2022-08-23 23:22:07,2022-08-23 21:41:39,,,
중앙대학교병원 다정관 주차장,ME174022,1,6,서울특별시 동작구 흑석로 102,37.5055471,126.9607195,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11590,I0,I001,N,N,N,2022-08-24 08:29:11,2022-08-24 07:47:24,,,
양화진공영주차장,ME174023,1,6,서울특별시 마포구 토정로 2,37.5457992,126.9117265,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11440,B0,B001,N,N,N,2022-08-24 06:56:01,2022-08-24 06:44:32,,,
공덕1-1공영주차장,ME174024,1,6, 옥상,37.5471234,126.9612454,주차장 전산시스템 교체 작업으로 입장 불가,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11440,B0,B001,N,N,N,2022-08-23 21:21:47,2022-08-23 20:40:50,,,
홍제견인차량보관소 주차장,ME174025,1,6,서울특별시 서대문구 홍제내길 227,37.5905929,126.9407564,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11410,A0,A004,N,N,N,2022-08-24 09:31:28,2022-08-24 01:38:20,,,
홍제견인차량보관소 주차장,ME174025,2,6,서울특별시 서대문구 홍제내길 227,37.5905929,126.9407564,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11410,A0,A004,N,N,N,2022-08-24 08:31:27,2022-08-24 07:51:00,,,
서울시인재개발원,ME174026,1,6,서울특별시 서초구 남부순환로 340길 58,37.481369,127.0238502,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11650,A0,A004,N,N,N,2022-08-23 21:43:32,2022-08-23 21:32:17,,,
서울추모공원,ME174027,1,6,서울특별시 서초구 양재대로12길 74,37.4536062,127.0428005,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2.02208E+13,2.02208E+13,50,단독,11,11650,A0,A004,N,N,N,2022-08-24 09:15:56,2022-08-23 12:40:38,,,
아시아공원 공영주차장,ME174028,1,6,서울특별시 송파구 잠실동 84,37.5102969,127.0788121,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2.02208E+13,2.02208E+13,50,단독,11,11710,B0,B001,N,N,N,2022-08-24 09:12:30,2022-08-24 08:42:58,,,
아시아공원 공영주차장,ME174028,2,6,서울특별시 송파구 잠실동 84,37.5102969,127.0788121,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2.02208E+13,2.02208E+13,50,단독,11,11710,B0,B001,N,N,N,2022-08-24 09:07:57,2022-08-24 06:12:48,,,
아시아공원 공영주차장,ME174028,3,6,서울특별시 송파구 잠실동 84,37.5102969,127.0788121,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2.02208E+13,2.02208E+13,50,단독,11,11710,B0,B001,N,N,N,2022-08-24 09:00:50,2022-08-24 08:13:14,,,
롯데마트 송파점,ME174029,1,6,서울특별시 송파구 중대로 80,37.4918392,127.1178931,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11710,E0,E001,N,N,N,2022-08-23 20:29:01,2022-08-23 20:08:05,,,
홈플러스 영등포점,ME174030,1,6,서울특별시 영등포구 당산로 42,37.5190208,126.8957999,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11560,E0,E001,N,N,N,2022-08-23 18:12:32,2022-08-23 17:58:54,,,
신길6동 공영노외주차장(구 신길 제5동 주민센터),ME174031,1,6,서울특별시 영등포구 신길동 3203,37.50251299,126.9110497,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11560,G0,G003,N,N,N,2022-08-24 07:58:01,2022-08-24 07:16:58,,,
신길4동1마을공원 공영주차장,ME174032,1,6,서울특별시 영등포구 신길로40길 5,37.507122,126.9116817,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11560,B0,B001,N,N,N,2022-08-23 23:27:02,2022-08-23 22:43:42,,,
당산에스에이치빌 아파트 앞,ME174033,1,6,서울특별시 영등포구 영신로 183,37.524217,126.9019801,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11560,G0,G003,N,N,N,2022-08-24 08:36:18,2022-08-24 08:09:17,,,
영등포 제3공영,ME174034,1,6,서울특별시 영등포구 영중로3길 7,37.5180087,126.9030865,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11560,B0,B001,N,N,N,2022-08-23 21:34:49,2022-08-23 20:51:28,,,
신창동 공영주차장,ME174035,1,6,서울특별시 용산구 원효로35길 53,37.5353568,126.9552587,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11170,B0,B001,N,N,N,2022-08-23 15:24:04,2022-08-23 13:07:17,,,
한남동 공영주차장,ME174036,1,6,서울특별시 용산구 이태원로 224-19,37.5349284,127.0002489,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11170,B0,B001,N,N,N,2022-08-24 09:04:58,2022-08-23 20:26:53,,,
현대자동차 수색대리점,ME174037,1,6,서울특별시 은평구 수색로 342-1,37.5867665,126.8880299,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11380,F0,F001,N,N,N,2022-08-23 19:18:48,2022-08-23 18:38:19,,,
은평구민체육센터,ME174038,1,6,서울특별시 은평구 진관1로 40,37.6310603,126.9246413,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2.02208E+13,2.02208E+13,50,단독,11,11380,A0,A004,N,N,N,2022-08-24 08:52:49,2022-08-24 08:25:37,,,
태화빌딩,ME174039,1,6,서울특별시 종로구 인사동5길 29,37.5718148,126.9850443,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11110,H0,H003,N,N,N,2022-08-23 19:16:21,2022-08-23 18:33:15,,,
한국예술종합학교(종로),ME174040,1,6,서울특별시 종로구 창경궁로 215,37.5824318,126.9974047,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11110,J0,J001,N,N,N,2022-08-24 08:33:04,2022-08-24 08:25:39,,,
국립극장,ME174041,1,6, 국립극장 좌측 출구 주차장,37.5517908,127.0002167,05:00~23:00,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11140,A0,A004,N,N,N,2022-08-23 21:27:41,2022-08-23 20:44:34,,,
국립극장,ME174041,2,6, 국립극장 좌측 출구 주차장,37.5517908,127.0002167,05:00~23:00,ME,환경부,환경부,1661-9408,3,2.02208E+13,2.02208E+13,50,단독,11,11140,A0,A004,N,N,N,2022-08-24 09:28:12,2022-08-24 08:49:55,,,
홈플러스 상봉점,ME174042,1,6,서울특별시 중랑구 망우로 353,37.5983156,127.0905669,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11260,E0,E001,N,N,N,2022-08-23 23:03:03,2022-08-23 22:36:31,,,
홈플러스 신내점,ME174043,1,6,서울특별시 중랑구 신내로 201,37.6159847,127.0939656,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2.02208E+13,2.02208E+13,50,단독,11,11260,E0,E001,N,N,N,2022-08-24 09:28:46,2022-08-23 21:07:27,,,
용마폭포공원 공영주차장,ME174044,1,6,서울특별시 중랑구 용마산로 250-12,37.5745068,127.089592,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11260,B0,B001,N,N,N,2022-08-24 03:33:34,2022-08-24 02:50:38,,,
서울만남휴게소(부산방향),ME178009,1,6,서울특별시 서초구 양재대로12길 73-71 (원지동),37.4600218,127.0420378,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2.02208E+13,2.02208E+13,50,단독,11,11650,C0,C001,Y,N,N,2022-08-24 09:21:00,2022-08-24 07:11:39,,,
서울만남휴게소(부산방향),ME178009,2,6,서울특별시 서초구 양재대로12길 73-71 (원지동),37.4600218,127.0420378,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2.02208E+13,2.02208E+13,50,단독,11,11650,C0,C001,Y,N,N,2022-08-24 08:58:21,2022-08-24 06:32:35,,,
파크하얏트서울호텔,ME181101,1,6,서울특별시 강남구 테헤란로606,37.508834,127.064114,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11680,E0,E003,Y,N,N,2022-08-23 14:37:45,2022-08-23 11:17:07,,,
스위스그랜드호텔(구 그랜드힐튼호텔),ME181102,1,6,서울특별시 서대문구 연희로 353,37.590003,126.934744,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11410,E0,E003,Y,N,N,2022-08-24 08:58:28,2022-08-24 08:24:32,,,
롯데 VIC마켓 금천점,ME181133,1,6,null,37.470581,126.895698, 10:00~22:00,ME,환경부,환경부,1661-9408,3,2.02208E+13,2.02208E+13,50,단독,11,11545,E0,E001,Y,N,N,2022-08-24 09:23:45,2022-08-23 19:18:33,,,
롯데 VIC마켓 금천점,ME181133,2,6,null,37.470581,126.895698, 10:00~22:00,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11545,E0,E001,Y,N,N,2022-08-23 19:02:41,2022-08-23 18:04:34,,,
